xtf_id,IDE,Numero,Abreviation,Nom_TP,Nom_RC,Validite_DebutValidite,Validite_FinValidite,Validite_DateTraitement,Validite_Etat
ch14uvag00000390,CHE-105.978.304,532,BOGG,Busbetrieb Olten Gösgen Gäu AG,Busbetrieb Olten Gösgen Gäu AG,19330220,,20250727,20250727
ch14uvag00000840,,173,SSIF,Società Subalpina Imprese Ferroviarie S.p.A.,Società Subalpina Imprese Ferroviarie S.p.A.,18000101,,20250727,20250727
ch14uvag00000405,CHE-106.010.523,542,BSGU,Busbetrieb Solothurn Grenchen und Umgebung AG,Busbetrieb Solothurn Grenchen und Umgebung AG,19640724,,20250727,20250727
ch14uvag00000969,CHE-105.978.379,182,VZO,Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,18000101,,20250727,20250727
ch14uvag00000800,CHE-103.333.042,1166,SFT,Sportbahnen Hochwang AG,Sportbahnen Hochwang AG,18000101,,20250727,20250727
ch14uvag00000413,CHE-105.842.633,1167,BWA,"Bergbahnen Brigels, Waltensburg, Andiast SA","Bergbahnen Brigels, Waltensburg, Andiast SA",18000101,,20250727,20250727
ch14uvag00000767,CHE-105.812.483,1155,SBA,Sportbahnen Amden AG,Sportbahnen Amden AG,18000101,,20250727,20250727
ch14uvag00224709,CHE-107.684.115,1354,LPF,La Punt Ferien,La Punt Ferien,18000101,,20250727,20250727
ch14uvag00224713,,1356,SBT,Stadtbus Tuttlingen Klink GmbH,Stadtbus Tuttlingen Klink GmbH,18000101,,20250727,20250727
ch14uvag00000497,CHE-106.880.808,1063,FBS,Funivia Brusino-Arsizio/Serpiano SA,Funivia Brusino-Arsizio/Serpiano SA,18000101,,20250727,20250727
ch14uvag00000341,,1306,BALA,"Alexander Huser, Sporthotel Habkern","Alexander Huser, Sporthotel Habkern",18000101,,20250727,20250727
ch14uvag00000779,CHE-105.858.746,1181,SBP,Sportbahnen Pischa AG (LDP),Sportbahnen Pischa AG (LDP),18000101,,20250727,20250727
ch14uvag00000653,CHE-105.771.789,1145,LSS,Säntis-Schwebebahn AG,Säntis-Schwebebahn AG,18000101,,20250727,20250727
ch14uvag00000487,CHE-248.958.397,30,ETB,Emmentalbahn GmbH,Emmentalbahn GmbH,20131204,,20250727,20250727
ch14uvag00000596,CHE-106.996.339,598,LBB,Belalp Bahnen AG,Belalp Bahnen AG,18000101,,20250727,20250727
ch14uvag00000851,CHE-108.078.489,472,StoB,Stoosbahnen AG,Stoosbahnen AG,19320315,,20250727,20250727
ch14uvag00000812,CHE-103.027.823,1071,SJN,Sportbahnen Gampel-Jeizinen AG,Sportbahnen Gampel-Jeizinen AG,18000101,,20250727,20250727
ch14uvag00000299,CHE-106.643.533,1052,AH,Hammetschwand Lift AG,Hammetschwand Lift AG,18000101,,20250727,20250727
ch14uvag00000821,CHE-106.321.093,621,MGsa,Mouettes genevoises SA,Mouettes genevoises SA,19880804,,20250727,20250727
ch14uvag00000657,CHE-105.828.432,586,LUFAG,Luftseilbahn Unterterzen-Flumserberg AG,Luftseilbahn Unterterzen-Flumserberg AG,18000101,,20250727,20250727
ch14uvag00000889,CHE-105.976.854,519,TL,Transports Publics de la Région Lausannoise sa,Transports Publics de la Région Lausannoise sa,18950812,,20250727,20250727
ch14uvag00334756,,9097,ODV,On-Demand-Verkehre,On-Demand-Verkehre,18000101,,20250727,20250727
ch14uvag00000941,CHE-107.672.879,560,VBG,VBG Verkehrsbetriebe Glattal AG,VBG Verkehrsbetriebe Glattal AG,18000101,,20250727,20250727
ch14uvag00000610,CHE-106.889.985,1060,LFE,Luftseilbahn Flüelen-Eggberge AG Altdorf,Luftseilbahn Flüelen-Eggberge AG Altdorf,18000101,,20250727,20250727
ch14uvag00000843,CHE-101.392.849,44,ST,Sursee-Triengen-Bahn AG,Sursee-Triengen-Bahn AG,18000101,,20250727,20250727
ch14uvag00000412,CHE-108.955.044,303,BVB,Basler Verkehrs-Betriebe (BVB),Basler Verkehrs-Betriebe (BVB),18000101,,20250727,20250727
ch14uvag00000773,CHE-106.824.543,512,BuS,Bus und Service AG,Bus und Service AG,18000101,,20250727,20250727
ch14uvag00000906,CHE-102.954.307,522,TPL,TRASPORTI PUBBLICI LUGANESI SA (TPL),TRASPORTI PUBBLICI LUGANESI SA (TPL),19991229,,20250727,20250727
ch14uvag00000984,CHE-105.929.949,183,AVA,Aargau Verkehr AG (AVA),Aargau Verkehr AG (AVA),18000101,,20250727,20250727
ch14uvag00000681,CHE-105.735.581,212,MVR,Transports Montreux-Vevey-Riviera SA,Transports Montreux-Vevey-Riviera SA,19851203,,20250727,20250727
ch14uvag00000600,CHE-107.856.540,1036,DIALA,Diavolezza Lagalb AG,Diavolezza Lagalb AG,18000101,,20250727,20250727
ch14uvag00000687,CHE-104.005.959,620,NLB,NLB S.A.,NLB S.A.,19971222,,20250727,20250727
ch14uvag00000664,CHE-105.950.174,120,MBC,Transports de la région Morges-Bière-Cossonay SA,Transports de la région Morges-Bière-Cossonay SA,18940220,,20250727,20250727
ch14uvag00000817,CHE-105.843.288,473,SMC,"Compagnie de Chemin de Fer et d'Autobus Sierre-Montana-Crans, (SMC) SA","Compagnie de Chemin de Fer et d'Autobus Sierre-Montana-Crans, (SMC) SA",18000101,,20250727,20250727
ch14uvag00000400,CHE-105.795.809,1234,BSAG,Bergbahnen Sörenberg AG,Bergbahnen Sörenberg AG,18000101,,20250727,20250727
ch14uvag00000436,CHE-103.665.314,88,CSG,Associazione CSG Swiss Railpark St. Gotthard ,Associazione CSG Swiss Railpark St. Gotthard ,19800521,,20250727,20250727
ch14uvag00000905,CHE-108.954.323,316,TPG,Transports publics genevois (TPG),Transports publics genevois (TPG),18000101,,20250727,20250727
ch14uvag00343582,CHE-447.364.492,1381,GAA,Gander Autocar Sàrl,Gander Autocar Sàrl,18000101,,20250727,20250727
ch14uvag00000590,CHE-106.888.158,1273,LAA,Luftseilbahngenossenschaft Amsteg-Arnisee,Luftseilbahngenossenschaft Amsteg-Arnisee,18000101,,20250727,20250727
ch14uvag00000642,CHE-114.857.875,595,LRU,Gemeinde Unterbäch,Gemeinde Unterbäch,18000101,,20250727,20250727
ch14uvag00000518,CHE-105.948.875,1118,FSCR,Officine idroelettriche della Maggia SA,Officine idroelettriche della Maggia SA,18000101,,20250727,20250727
ch14uvag00000422,CHE-115.057.699,9821,CdP,Comune di Poschiavo,Comune di Poschiavo,18000101,,20250727,20250727
ch14uvag00000856,CHE-337.328.235,9390,SUTU,Sumvitg Turissem,Sumvitg Turissem,18000101,,20250727,20250727
ch14uvag00000902,CHE-106.834.613,105,TPC,Transports Publics du Chablais SA,Transports Publics du Chablais SA,18000101,,20250727,20250727
ch14uvag00000813,CHE-382.221.000,1268,SK,Sportbahnen Kerenzerberg GmbH,Sportbahnen Kerenzerberg GmbH,20110610,,20250727,20250727
ch14uvag00000339,CHE-105.982.719,596,ABAG,Aletsch Bahnen AG,Aletsch Bahnen AG,18000101,,20250727,20250727
ch14uvag00000540,CHE-107.189.666,1082,GKO,Gondelbahn Kandersteg-Oeschinensee AG,Gondelbahn Kandersteg-Oeschinensee AG,19471004,,20250727,20250727
ch14uvag00249120,CHE-343.311.817,3123,HSLCH,HSL Schweiz GmbH,HSL Schweiz GmbH,18000101,,20250727,20250727
